Which accelerator do you work most closely with?,Phase 1 Minimum,Phase 2 Minimum,Phase 3 Minimum,Phase 4 Minimum,Phase 5 Minimum,Phase 1 Maximum,Phase 2 Maximum,Phase 3 Maximum,Phase 4 Maximum,Phase 5 Maximum,Can it be quicker?
I do not work closely with one particular accelerator,5,3,7,8,3,8,3,18,7,6,Yes
AI/Data-Driven Support for the Frontline,5,2,3,4,14,3,7,11,3,23,Yes
AI/Data-Driven Support for the Frontline,8,6,10,8,14,3,4,15,13,14,Yes
Best Start in Life/Early Years,7,4,4,7,12,2,19,7,10,15,Yes
Violence Against Women and Girls,10,5,3,5,14,7,18,20,7,12,Yes
I do not work closely with one particular accelerator,4,6,7,7,7,4,17,22,12,10,Yes
AI/Data-Driven Support for the Frontline,2,6,9,3,14,15,10,10,3,19,Yes
AI/Data-Driven Support for the Frontline,7,4,11,8,12,2,2,6,20,15,No
Economic Inactivity,3,6,8,5,7,2,8,16,9,15,No
I do not work closely with one particular accelerator,6,4,7,2,4,12,10,5,13,20,No
Economic Inactivity,2,2,8,5,12,7,20,5,1,18,No
AI/Data-Driven Support for the Frontline,5,5,7,5,14,4,8,2,3,20,Yes
Violence Against Women and Girls,3,2,7,8,12,18,16,15,5,15,No
I do not work closely with one particular accelerator,2,4,5,7,12,19,5,15,1,24,No
Economic Inactivity,3,6,9,8,14,14,13,5,11,16,Yes
Violence Against Women and Girls,10,4,7,6,3,18,15,22,2,5,No
