Team,Scenario,Phase 1,Phase 2,Phase 3,Phase 4,Phase 5
Neighbourhood Health,Max,1,12,2,20,18
Economic Inactivity,Max,10,5,6,5,22
AI/Data-Driven Support for the Frontline,Max,13,10,8,12,20
AI/Data-Driven Support for the Frontline,Max,4,3,17,20,16
Economic Inactivity,Min,3,15,25,18,25
AI/Data-Driven Support for the Frontline,Max,15,17,2,18,8
Neighbourhood Health,Min,13,5,16,20,3
AI/Data-Driven Support for the Frontline,Max,12,11,20,20,19
Economic Inactivity,Max,2,13,8,7,5
I do not work closely with one particular accelerator,Min,18,5,5,8,7
Economic Inactivity,Max,7,16,3,12,21
I do not work closely with one particular accelerator,Min,12,4,11,4,6
Best Start in Life/Early Years,Max,19,17,25,8,7
I do not work closely with one particular accelerator,Max,19,6,25,20,3
Economic Inactivity,Min,18,5,12,2,18
Economic Inactivity,Min,4,20,6,7,9
Economic Inactivity,Max,19,13,19,16,3
Neighbourhood Health,Max,13,8,15,8,7
I do not work closely with one particular accelerator,Min,1,17,18,2,12
Neighbourhood Health,Max,10,9,25,5,15
Neighbourhood Health,Min,12,2,13,10,14
Economic Inactivity,Min,2,2,11,9,3
Economic Inactivity,Max,19,7,13,4,10
AI/Data-Driven Support for the Frontline,Min,1,19,11,7,17
AI/Data-Driven Support for the Frontline,Max,2,8,17,6,8
I do not work closely with one particular accelerator,Max,2,18,2,3,3
AI/Data-Driven Support for the Frontline,Max,13,9,3,12,24
AI/Data-Driven Support for the Frontline,Max,4,6,3,6,5
I do not work closely with one particular accelerator,Min,19,1,15,5,11
I do not work closely with one particular accelerator,Max,1,5,12,7,9
AI/Data-Driven Support for the Frontline,Max,11,8,9,8,7
Best Start in Life/Early Years,Max,7,1,12,5,17
